Player,Rookie,Pos,G,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP
LeBron James,0,PF,82,10.5,19.3,0.542,1.8,4.7,6.5,0.731,8.6,9.1,1.4,0.9,4.2,27.5,8.9
James Harden,0,SG,72,9,20.1,0.449,3.7,8.7,10.1,0.858,5.4,8.8,1.8,0.7,4.4,30.4,8.3
Russell Westbrook,0,PG,80,9.5,21.1,0.449,1.2,5.2,7.1,0.737,10.1,10.3,1.8,0.3,4.8,25.4,7.5
Damian Lillard,0,PG,73,8.5,19.4,0.439,3.1,6.8,7.4,0.916,4.5,6.6,1.1,0.4,2.8,26.9,5.9
Nikola Jokic,0,C,75,6.7,13.5,0.499,1.5,3.5,4.2,0.85,10.7,6.1,1.2,0.8,2.8,18.5,5.6
Karl-Anthony Towns,0,C,82,7.8,14.3,0.545,1.5,4.2,4.9,0.858,12.3,2.4,0.8,1.4,1.9,21.3,5.5
Giannis Antetokounmpo,0,PF,75,9.9,18.7,0.529,0.6,6.5,8.5,0.76,10,4.8,1.5,1.4,3,26.9,5.4
Andre Drummond,0,C,78,6,11.3,0.529,0,3.1,5.1,0.605,16,3,1.5,1.6,2.6,15,5
Kyle Lowry,0,PG,78,5.2,12.1,0.427,3.1,2.9,3.3,0.854,5.6,6.9,1.1,0.2,2.3,16.2,5
Anthony Davis,0,PF,75,10.4,19.5,0.534,0.7,6.6,8,0.828,11.1,2.3,1.5,2.6,2.2,28.1,4.9
Ben Simmons,1,PG,81,6.7,12.3,0.545,0,2.4,4.2,0.56,8.1,8.2,1.7,0.9,3.4,15.8,4.6
Kevin Durant,0,PF,68,9.3,18,0.516,2.5,5.3,5.9,0.889,6.8,5.4,0.7,1.8,3,26.4,4.5
Victor Oladipo,0,SG,75,8.5,17.9,0.477,2.1,3.9,4.9,0.799,5.2,4.3,2.4,0.8,2.9,23.1,4.5
Stephen Curry,0,PG,51,8.4,16.9,0.495,4.2,5.5,5.9,0.921,5.1,6.1,1.6,0.2,3,26.4,4.4
Chris Paul,0,PG,58,6.3,13.8,0.46,2.5,3.5,3.8,0.919,5.4,7.9,1.7,0.2,2.2,18.6,4.3
Kyrie Irving,0,PG,60,8.9,18.1,0.491,2.8,3.9,4.4,0.889,3.8,5.1,1.1,0.3,2.3,24.4,4
Jimmy Butler,0,SG,59,7.4,15.6,0.474,1.2,6.2,7.2,0.854,5.3,4.9,2,0.4,1.8,22.2,3.8
Kemba Walker,0,PG,80,7.4,17,0.431,2.9,4.5,5.3,0.864,3.1,5.6,1.1,0.3,2.2,22.1,3.6
Al Horford,0,C,72,5.1,10.5,0.489,1.3,1.3,1.7,0.783,7.4,4.7,0.6,1.1,1.8,12.9,3.5
Otto Porter,0,SF,77,5.8,11.5,0.503,1.8,1.4,1.7,0.828,6.4,2,1.5,0.5,1,14.7,3.4
Paul George,0,SF,79,7.3,17,0.43,3.1,4.3,5.2,0.822,5.7,3.3,2,0.5,2.7,21.9,3.3
DeMarcus Cousins,0,C,48,8.5,18,0.47,2.2,6.1,8.2,0.746,12.9,5.4,1.6,1.6,5,25.2,3.3
LaMarcus Aldridge,0,C,75,9.2,18,0.51,0.4,4.5,5.3,0.837,8.5,2,0.6,1.2,1.5,23.1,3.3
Joe Ingles,0,SF,82,4.1,8.8,0.467,2.5,0.8,1,0.795,4.2,4.8,1.1,0.2,1.9,11.5,3.3
Steven Adams,0,C,76,5.9,9.4,0.629,0,2.1,3.8,0.559,9,1.2,1.2,1,1.7,13.9,3.3
Draymond Green,0,PF,70,4,8.8,0.454,1.1,1.9,2.5,0.775,7.6,7.3,1.4,1.3,2.9,11,3
Jrue Holiday,0,SG,81,7.6,15.4,0.494,1.5,2.3,2.9,0.786,4.5,6,1.5,0.8,2.6,19,3
Kyle Anderson,0,SF,74,3.1,5.9,0.527,0.3,1.4,2,0.712,5.4,2.7,1.6,0.8,1.3,7.9,3
Rudy Gobert,0,C,56,4.9,7.9,0.622,0,3.6,5.3,0.682,10.7,1.4,0.8,2.3,1.9,13.5,2.9
Robert Covington,0,SF,80,4.3,10.5,0.413,2.5,1.5,1.7,0.853,5.4,2,1.7,0.9,1.6,12.6,2.9
Bradley Beal,0,SG,82,8.3,18.1,0.46,2.4,3.6,4.5,0.791,4.4,4.5,1.2,0.4,2.6,22.6,2.7
Clint Capela,0,C,74,6,9.1,0.652,0,1.9,3.5,0.56,10.8,0.9,0.8,1.9,1.4,13.9,2.6
DeMar DeRozan,0,SG,80,8.1,17.7,0.456,1.1,5.8,7,0.825,3.9,5.2,1.1,0.3,2.2,23,2.6
Derrick Favors,0,C,77,5.1,9.1,0.563,0.2,1.8,2.8,0.651,7.2,1.3,0.7,1.1,1.1,12.3,2.5
DeAndre Jordan,0,C,77,4.8,7.5,0.645,0,2.4,4.1,0.58,15.2,1.5,0.5,0.9,1.8,12,2.5
Eric Bledsoe,0,PG,74,6.3,13.4,0.473,1.7,3.4,4.3,0.795,3.8,5,2,0.6,2.9,17.7,2.4
Blake Griffin,0,PF,58,7.5,17.2,0.438,1.9,4.5,5.7,0.785,7.4,5.8,0.7,0.3,2.8,21.4,2.4
Pau Gasol,0,C,77,3.7,8.1,0.458,0.6,2.1,2.7,0.756,8,3.1,0.3,1,1.4,10.1,2.4
Josh Richardson,0,SF,81,4.9,10.9,0.451,1.6,1.5,1.8,0.845,3.5,2.9,1.5,0.9,1.7,12.9,2.3
Kyle O'Quinn,0,C,77,2.9,5,0.583,0.1,1.3,1.6,0.772,6.1,2.1,0.5,1.3,1.3,7.1,2.3
Tyreke Evans,0,PG,52,7,15.6,0.452,2.2,3.2,4,0.785,5.1,5.2,1.1,0.3,2.3,19.4,2.3
Thaddeus Young,0,PF,81,5.2,10.7,0.487,0.7,0.7,1.1,0.598,6.3,1.9,1.7,0.4,1.3,11.8,2.3
Joel Embiid,0,C,63,8.1,16.8,0.483,1,5.7,7.4,0.769,11,3.2,0.6,1.8,3.7,22.9,2.2
Kelly Olynyk,0,PF,76,4.2,8.4,0.497,1.4,1.8,2.3,0.77,5.7,2.7,0.8,0.5,1.9,11.5,2.2
Ricky Rubio,0,PG,77,4.5,10.7,0.418,1.2,2.9,3.3,0.866,4.6,5.3,1.6,0.1,2.7,13.1,2.1
Darren Collison,0,PG,69,4.6,9.2,0.495,1.4,1.8,2.1,0.882,2.6,5.3,1.3,0.2,1.2,12.4,2.1
Taj Gibson,0,PF,82,5.2,9,0.577,0.1,1.7,2.3,0.768,7.1,1.2,0.8,0.7,1.1,12.2,2.1
Marc Gasol,0,C,73,5.9,14.2,0.42,1.5,3.8,4.6,0.834,8.1,4.2,0.7,1.4,2.7,17.2,2.1
Enes Kanter,0,C,71,5.9,10,0.592,0,2.2,2.6,0.848,11,1.5,0.5,0.5,1.7,14.1,2.1
Donovan Mitchell,1,SG,79,7.5,17.2,0.437,2.4,3,3.8,0.805,3.7,3.7,1.5,0.3,2.7,20.5,2.1
Terry Rozier,0,PG,80,4,10,0.395,1.9,1.4,1.9,0.772,4.7,2.9,1,0.2,1,11.3,2
Will Barton,0,SG,81,5.7,12.7,0.452,1.9,2.2,2.8,0.805,5,4.1,1,0.6,1.8,15.7,2
Nikola Vucevic,0,C,57,7,14.7,0.475,1.1,1.4,1.6,0.819,9.2,3.4,1,1.1,1.9,16.5,2
Lou Williams,0,SG,79,7.4,16.9,0.435,2.4,5.5,6.2,0.88,2.5,5.3,1.1,0.2,3,22.6,2
Jakob Poeltl,0,C,82,3.1,4.7,0.659,0,0.7,1.2,0.594,4.8,0.7,0.5,1.2,1,6.9,2
Trevor Ariza,0,SF,67,4,9.7,0.412,2.5,1.1,1.3,0.854,4.4,1.6,1.5,0.2,0.8,11.7,2
Dwight Powell,0,C,79,3.2,5.4,0.593,0.4,1.7,2.3,0.719,5.6,1.2,0.8,0.4,0.7,8.5,2
Dario Saric,0,PF,78,5.2,11.4,0.453,2,2.3,2.7,0.86,6.7,2.6,0.7,0.3,1.9,14.6,2
Marvin Williams,0,PF,78,3.3,7.2,0.458,1.6,1.3,1.6,0.829,4.7,1.2,0.7,0.5,0.8,9.5,1.9
Kentavious Caldwell-Pope,0,SG,74,4.6,10.8,0.426,2.1,2.1,2.6,0.789,5.2,2.2,1.4,0.2,1.3,13.4,1.9
Larry Nance,0,C,66,3.6,6.3,0.581,0,1.4,2.1,0.664,6.8,1.2,1.3,0.6,0.8,8.7,1.9
James Johnson,0,PF,73,4.2,8.4,0.503,0.8,1.5,2.2,0.698,4.9,3.8,1,0.7,1.9,10.8,1.8
Khris Middleton,0,SF,82,7.2,15.5,0.466,1.8,3.9,4.4,0.884,5.2,4,1.5,0.3,2.3,20.1,1.8
Tobias Harris,0,PF,80,7,15.3,0.46,2.3,2.2,2.7,0.829,5.5,2.4,0.9,0.4,1.3,18.6,1.8
Jayson Tatum,1,SF,80,5,10.4,0.475,1.3,2.7,3.2,0.826,5,1.6,1,0.7,1.4,13.9,1.8
CJ McCollum,0,SG,81,8.2,18.6,0.443,2.3,2.6,3.1,0.836,4,3.4,1,0.4,1.9,21.4,1.8
Gary Harris,0,SG,67,6.6,13.6,0.485,2.3,2,2.4,0.827,2.6,2.9,1.8,0.2,1.8,17.5,1.7
Nicolas Batum,0,SG,64,4.2,10.2,0.415,1.4,1.7,2,0.831,4.8,5.5,1,0.4,2,11.6,1.7
Pascal Siakam,0,PF,81,3.1,6.1,0.508,0.4,0.7,1.1,0.621,4.5,2,0.8,0.5,0.8,7.3,1.7
John Collins,1,PF,74,4.2,7.4,0.576,0.2,1.8,2.5,0.715,7.3,1.3,0.6,1.1,1.4,10.5,1.7
Delon Wright,0,PG,69,2.9,6.3,0.465,0.8,1.4,1.7,0.829,2.9,2.9,1,0.5,1.1,8,1.7
Lonzo Ball,1,PG,52,3.9,10.8,0.36,1.7,0.6,1.4,0.451,6.9,7.2,1.7,0.8,2.6,10.2,1.7
Julius Randle,0,C,82,6.1,11,0.558,0.1,3.7,5.2,0.718,8,2.6,0.5,0.5,2.6,16.1,1.6
Al-Farouq Aminu,0,PF,69,3.3,8.4,0.395,1.8,0.9,1.2,0.738,7.6,1.2,1.1,0.6,1.1,9.3,1.6
Ekpe Udoh,0,C,63,1,1.9,0.5,0,0.7,0.9,0.75,2.4,0.8,0.7,1.2,0.3,2.6,1.6
Fred VanVleet,0,PG,76,3.1,7.2,0.426,1.4,1.1,1.3,0.832,2.4,3.2,0.9,0.3,1,8.6,1.5
Anthony Tolliver,0,PF,79,2.8,6,0.464,2,1.3,1.7,0.797,3.1,1.1,0.4,0.3,0.7,8.9,1.5
Montrezl Harrell,0,C,76,4.6,7.2,0.635,0,1.8,2.9,0.626,4,1,0.5,0.7,0.9,11,1.5
Jonas Valanciunas,0,C,77,5.1,8.9,0.568,0.4,2.2,2.7,0.806,8.6,1.1,0.4,0.9,1.5,12.7,1.5
Jeremy Lamb,0,SG,80,4.8,10.4,0.457,1.2,2.2,2.6,0.861,4.1,2.3,0.8,0.4,1.2,12.9,1.5
Amir Johnson,0,C,74,1.9,3.5,0.538,0.1,0.7,1.1,0.612,4.5,1.6,0.6,0.6,0.7,4.6,1.5
Dejounte Murray,0,PG,81,3.3,7.5,0.443,0.1,1.3,1.8,0.709,5.7,2.9,1.2,0.4,1.7,8.1,1.4
Danny Green,0,SG,70,3.1,8,0.387,1.7,0.7,0.9,0.769,3.6,1.6,0.9,1.1,1.1,8.6,1.4
Mason Plumlee,0,C,74,3,5,0.601,0,1.1,2.4,0.458,5.4,1.9,0.7,1.1,1.4,7.1,1.4
Kevin Love,0,C,59,5.7,12.4,0.458,2.3,4,4.5,0.88,9.3,1.7,0.7,0.4,1.5,17.6,1.4
Spencer Dinwiddie,0,PG,80,4.1,10.5,0.387,1.8,2.7,3.4,0.813,3.2,6.6,0.9,0.3,1.6,12.6,1.3
Jeff Teague,0,PG,70,5.1,11.3,0.446,1.2,2.9,3.4,0.845,3,7,1.5,0.3,2.5,14.2,1.3
David West,0,C,73,3,5.2,0.571,0,0.8,1.1,0.759,3.3,1.9,0.6,1,1.1,6.8,1.3
Tomas Satoransky,0,SG,73,2.8,5.3,0.523,0.6,1,1.3,0.781,3.2,3.9,0.7,0.2,1.1,7.2,1.3
Myles Turner,0,C,65,4.7,9.8,0.479,0.9,2.5,3.2,0.777,6.4,1.3,0.6,1.8,1.5,12.7,1.3
Jamal Murray,0,PG,81,5.9,13.1,0.451,2,2.8,3.1,0.905,3.7,3.4,1,0.3,2.1,16.7,1.2
DeMarre Carroll,0,SF,73,4.5,10.8,0.414,2,2.6,3.4,0.764,6.6,2,0.8,0.4,1.4,13.5,1.2
Courtney Lee,0,SG,76,4.5,9.9,0.454,1.5,1.5,1.6,0.919,2.9,2.4,1.1,0.2,1.1,12,1.2
Willie Cauley-Stein,0,C,73,5.3,10.6,0.502,0,2.1,3.4,0.619,7,2.4,1.1,0.9,1.5,12.8,1.2
Devin Booker,0,SG,54,8.4,19.5,0.432,2.7,5.4,6.1,0.878,4.5,4.7,0.9,0.3,3.6,24.9,1.2
Jordan Bell,1,C,57,2,3.2,0.627,0,0.5,0.8,0.682,3.6,1.8,0.6,1,0.9,4.6,1.2
Marcin Gortat,0,C,82,3.5,6.8,0.518,0,1.3,2,0.675,7.6,1.8,0.5,0.7,1.2,8.4,1.2
John Wall,0,PG,41,6.8,16.3,0.42,1.5,4.3,5.9,0.726,3.7,9.6,1.4,1.1,3.9,19.4,1.2
Maurice Harkless,0,SF,59,2.5,5,0.495,0.8,0.7,1,0.712,2.7,0.9,0.8,0.7,0.7,6.5,1.2
Jusuf Nurkic,0,C,79,6.1,12,0.505,0,2.2,3.5,0.63,9,1.8,0.8,1.4,2.3,14.3,1.2
Goran Dragic,0,PG,75,6.5,14.3,0.45,1.5,2.9,3.6,0.801,4.1,4.8,0.8,0.2,2.2,17.3,1.2
E'Twaun Moore,0,SG,82,5.2,10.1,0.508,1.6,0.6,0.8,0.706,2.9,2.3,1,0.1,1.2,12.5,1.2
Greg Monroe,0,C,51,4.3,7.6,0.565,0,1.7,2.3,0.739,6.9,2.2,0.9,0.5,1.8,10.3,1.2
P.J. Tucker,0,PF,82,2.1,5.4,0.39,1.4,0.5,0.7,0.717,5.6,0.9,1,0.3,0.9,6.1,1.2
Reggie Bullock,0,SF,62,4.3,8.8,0.489,2,0.6,0.8,0.796,2.5,1.5,0.8,0.2,0.8,11.3,1.2
John Henson,0,C,76,3.8,6.6,0.572,0,1.2,2.1,0.57,6.8,1.5,0.6,1.4,1.1,8.8,1.2
J.J. Redick,0,SG,70,5.8,12.6,0.46,2.8,2.8,3.1,0.904,2.5,3,0.5,0.1,1.5,17.1,1.1
Dwight Howard,0,C,81,6.2,11.2,0.555,0,4.1,7.2,0.574,12.5,1.3,0.6,1.6,2.6,16.6,1.1
Daniel Theis,1,C,63,2,3.7,0.541,0.3,1,1.3,0.753,4.3,0.9,0.5,0.8,0.9,5.3,1.1
Brook Lopez,0,C,74,5,10.7,0.465,1.5,1.5,2.1,0.703,4,1.7,0.4,1.3,1.3,13,1.1
Joe Harris,0,SG,78,3.9,8,0.491,1.9,1.1,1.3,0.827,3.3,1.6,0.4,0.3,1.2,10.8,1.1
Wesley Matthews,0,SF,63,4.5,11.1,0.406,2.4,1.3,1.6,0.822,3.1,2.7,1.2,0.3,1.3,12.7,1.1
Kent Bazemore,0,SG,65,4.4,10.4,0.42,1.7,2.5,3.1,0.796,3.8,3.5,1.5,0.7,2.4,12.9,1.1
Dirk Nowitzki,0,C,77,4.5,9.8,0.456,1.8,1.3,1.4,0.898,5.7,1.6,0.6,0.6,0.7,12,1.1
Elfrid Payton,0,PG,63,5.2,10.6,0.493,0.5,1.7,2.7,0.649,4.3,6.2,1.3,0.3,2.7,12.7,1
Serge Ibaka,0,PF,76,5,10.3,0.483,1.4,1.2,1.6,0.797,6.3,0.8,0.4,1.3,1.2,12.6,1
Bobby Portis,0,PF,73,5.2,11.1,0.471,1.1,1.6,2.1,0.769,6.8,1.7,0.7,0.3,1.4,13.2,1
Aaron Gordon,0,PF,58,6.5,14.9,0.434,2,2.7,3.9,0.698,7.9,2.3,1,0.8,1.8,17.6,1
Alex Len,0,C,69,3.1,5.5,0.566,0,2.3,3.3,0.684,7.5,1.2,0.4,0.9,1.1,8.5,1
OG Anunoby,1,SF,74,2.2,4.7,0.471,1,0.5,0.8,0.629,2.5,0.7,0.7,0.2,0.6,5.9,1
Ryan Anderson,0,PF,66,3.1,7.3,0.431,2,1.1,1.4,0.774,5,0.9,0.4,0.3,0.6,9.3,1
Wayne Ellington,0,SG,77,3.7,9.1,0.407,2.9,0.9,1,0.859,2.8,1,0.7,0.1,0.7,11.2,1
Jaylen Brown,0,SG,70,5.3,11.5,0.465,1.7,2.1,3.3,0.644,4.9,1.6,1,0.4,1.8,14.5,1
Nikola Mirotic,0,PF,55,5.6,12.4,0.447,2.5,2,2.5,0.818,7.4,1.5,0.8,0.7,1.1,15.6,1
Dewayne Dedmon,0,C,62,4,7.7,0.524,0.8,1.1,1.4,0.779,7.9,1.5,0.6,0.8,1.4,10,1
Ersan Ilyasova,0,PF,69,4,8.9,0.452,1.3,1.5,2,0.778,5.9,1.3,0.9,0.4,1,10.9,0.9
Kyle Korver,0,SG,73,3,6.6,0.459,2.2,0.9,1,0.889,2.3,1.2,0.4,0.4,0.8,9.2,0.9
Buddy Hield,0,SG,80,5.2,11.7,0.446,2.2,0.9,1,0.877,3.8,1.9,1.1,0.3,1.6,13.5,0.9
Andre Iguodala,0,SF,64,2.3,5,0.463,0.5,0.9,1.4,0.632,3.8,3.3,0.8,0.6,1,6,0.9
Tyler Johnson,0,PG,72,4.3,9.9,0.435,1.7,1.5,1.8,0.822,3.4,2.3,0.8,0.5,1.1,11.7,0.9
Bam Adebayo,1,C,69,2.5,4.9,0.512,0,1.9,2.6,0.721,5.5,1.5,0.5,0.6,1,6.9,0.8
Jarrett Allen,1,C,72,3.3,5.5,0.589,0.1,1.6,2,0.776,5.4,0.7,0.4,1.2,1.1,8.2,0.8
Kadeem Allen,1,PG,18,0.3,1.2,0.273,0,0.4,0.5,0.778,0.6,0.7,0.2,0.1,0.5,1.1,-0.1
Ike Anigbogu,1,C,11,0.4,0.8,0.444,0,0.5,0.5,0.833,0.8,0,0.1,0.3,0.2,1.2,0
Ryan Arcidiacono,1,PG,24,0.7,1.7,0.415,0.4,0.2,0.3,0.833,1,1.5,0.5,0,0.5,2,-0.2
Jamel Artis,1,SG,15,2.1,5.3,0.392,0.5,0.5,0.8,0.583,2.5,1.2,0.1,0.2,0.5,5.1,-0.3
Dwayne Bacon,1,SG,53,1.4,3.6,0.375,0.2,0.4,0.5,0.8,2.3,0.7,0.3,0,0.4,3.3,-0.7
Khem Birch,1,C,42,1.6,3,0.54,0,1,1.5,0.689,4.3,0.8,0.4,0.5,0.5,4.2,0.3
Jabari Bird,1,SG,13,1.2,2,0.577,0.2,0.5,1,0.462,1.5,0.6,0.2,0.1,0.6,3,0
Antonio Blakeney,1,SG,19,2.8,7.5,0.371,0.8,1.6,2.1,0.769,1.7,1.1,0.4,0.1,0.6,7.9,-0.4
Bogdan Bogdanovic,1,SG,78,4.4,9.9,0.446,1.7,1.3,1.5,0.84,2.9,3.3,0.9,0.2,1.6,11.8,0.6
Chris Boucher,1,PF,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Tony Bradley,1,C,9,0.3,1.2,0.273,0,0.2,0.2,1,1.2,0.1,0,0,0,0.9,-0.1
Dillon Brooks,1,SF,82,4.1,9.4,0.44,1.1,1.5,2,0.747,3.1,1.6,0.9,0.2,1.5,11,-0.7
Sterling Brown,1,SG,54,1.5,3.8,0.4,0.6,0.4,0.4,0.875,2.6,0.5,0.6,0.2,0.5,4,-0.4
Thomas Bryant,1,C,15,0.5,1.4,0.381,0.1,0.3,0.6,0.556,1.1,0.4,0.1,0.1,0.1,1.5,0
Alex Caruso,1,PG,37,1.4,3.1,0.431,0.4,0.6,0.8,0.7,1.8,2,0.6,0.3,1.1,3.6,-0.1
Tyler Cavanaugh,1,PF,39,1.7,3.9,0.441,0.8,0.4,0.5,0.81,3.3,0.7,0.2,0.1,0.4,4.7,0.1
Gian Clavell,1,SG,7,0.9,2.6,0.333,0.9,0.3,0.3,1,1,0.4,0.3,0,0.3,2.9,0
Antonius Cleveland,1,SG,17,0.5,1.2,0.381,0.2,0.2,0.4,0.667,0.8,0.1,0.4,0.3,0.4,1.4,-0.1
Zach Collins,1,C,66,1.7,4.4,0.398,0.5,0.4,0.6,0.643,3.3,0.8,0.3,0.5,0.9,4.4,-0.3
Kyle Collinsworth,1,SF,32,1.2,3.1,0.384,0.1,0.7,1.3,0.525,3.3,1.8,0.5,0.3,0.8,3.2,0
Charles Cooke,1,SG,13,0.2,1.1,0.143,0.1,0.1,0.2,0.5,0.2,0.1,0.1,0,0.1,0.5,-0.1
Matt Costello,1,C,4,0.5,1,0.5,0,0,0,0,2.3,0.5,0.5,0.5,0.3,1,0
Torrey Craig,1,SF,39,1.6,3.5,0.453,0.4,0.6,0.9,0.629,3.3,0.6,0.3,0.4,0.5,4.2,-0.1
Tyler Dorsey,1,SG,56,2.6,6.8,0.377,1.3,0.8,1.1,0.714,2.3,1.4,0.3,0.1,0.7,7.2,-0.5
Damyean Dotson,1,SG,44,1.6,3.7,0.447,0.5,0.4,0.5,0.696,1.9,0.7,0.3,0,0.4,4.1,-0.1
Milton Doyle,1,SG,10,1.3,4.7,0.277,0.4,0.4,0.8,0.5,1.8,1,0.6,0.2,0.2,3.4,-0.1
PJ Dozier,1,PG,2,0.5,1,0.5,0,0,0,0,0.5,0,0,0,0.5,1,0
Jawun Evans,1,PG,48,1.9,5.3,0.352,0.3,0.8,1,0.776,1.8,2.1,0.8,0.1,0.9,4.8,-0.5
Terrance Ferguson,1,SG,61,1.1,2.8,0.414,0.7,0.1,0.2,0.9,0.8,0.3,0.4,0.2,0.2,3.1,-0.1
De'Aaron Fox,1,PG,73,4.5,10.9,0.412,0.6,1.9,2.7,0.723,2.8,4.4,1,0.3,2.4,11.6,-1.2
Markelle Fultz,1,SG,14,3.2,7.9,0.405,0,0.7,1.5,0.476,3.1,3.8,0.9,0.3,1.2,7.1,-0.1
Josh Gray,1,PG,5,2.2,8.2,0.268,0.6,1.4,2.2,0.636,2,2.4,1.6,0.4,1.4,6.4,-0.1
Daniel Hamilton,1,SG,6,0.8,1.8,0.455,0.3,0,0,0,0.8,1.3,0.2,0,0.3,2,0
Shaquille Harrison,1,PG,23,2.6,5.4,0.476,0.3,1.2,1.7,0.737,2.7,2.4,1.1,0.3,1,6.6,0.2
Josh Hart,1,SG,63,2.8,6,0.469,1.2,1,1.5,0.702,4.2,1.3,0.7,0.3,0.7,7.9,0.7
Nigel Hayes,1,SF,9,1.2,3.7,0.333,0.4,0.1,0.3,0.333,2.4,0.7,0.2,0.3,0.2,3,-0.1
Reggie Hearn,1,SG,3,0.3,0.7,0.5,0.3,0,0,0,0,0,0,0,0,1,0
Myke Henry,1,SF,20,2.1,5.5,0.376,1,0.3,0.5,0.6,1.9,1.1,1.6,0.3,1,5.4,0.1
Isaiah Hicks,1,PF,18,1.8,4,0.458,0.1,0.7,1,0.667,2.3,0.9,0.1,0.2,0.9,4.4,-0.2
John Holland,1,SF,24,0.7,2.5,0.288,0.5,0.4,0.5,0.692,1,0.2,0.3,0.1,0.3,2.3,-0.2
Vince Hunter,1,PF,4,0.8,1.3,0.6,0,0,0,0,0.8,0,0,0.3,0.3,1.5,0
Andre Ingram,1,SG,2,4,8.5,0.471,2.5,1.5,1.5,1,3,3.5,1.5,1.5,1.5,12,0.1
Jonathan Isaac,1,PF,27,2,5.4,0.379,0.6,0.7,0.9,0.76,3.7,0.7,1.2,1.1,1,5.4,0
Wesley Iwundu,1,SF,62,1.5,3.5,0.427,0.1,0.5,0.8,0.723,2.2,0.9,0.5,0.2,0.5,3.7,-0.4
