FID_1,VENUEID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,NAME2,NAME3,FORMER,YEAR,Lat_Y,Long_X,OBJECTID,VENUEID_1,USE_,USE_POP,TEAM,LEAGUE,CONFERENCE,DIVISION,INST_AFFIL,TRACK_TYPE,LENGTH_MI,ROOF_TYPE,STADIUM_SH,ADDDATE,USEWEBSITE,COMMENTS,FID_temp
42,1194,BARCLAYS CENTER,620 ATLANTIC AVENUE,NOT AVAILABLE,BROOKLYN,NY,11217,NOT AVAILABLE,(917) 618-6100,MULTIUSE,OPEN,17732,KINGS,36047,USA,40.682573251000000,-73.975230339000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.barclayscenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2016-02-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,40.68257325110,-73.97523033940,376,1194,NBA,17732,BROOKLYN NETS,NOT APPLICABLE,EASTERN,ATLANTIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/nets/no-fees,"USED TO SHARE ARENA WITH DEVILS (NHL), LIBERTY (WNBA), AND SETON HALL PIRATES (NCAA DIV I).  MOVED INTO BARCLAYS CENTER IN 2015 AND SHARES IT WITH THE NEW YORK ISLANDERS.",0
191,381,FEDEX FORUM,191 BEALE STREET,NOT AVAILABLE,MEMPHIS,TN,38103,NOT AVAILABLE,(901) 205-2525,MULTIUSE,OPEN,18400,SHELBY,19165,USA,35.138220848000000,-90.050384926999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://fedexforum.com/homepage.aspx,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,35.13822084800,-90.05038492690,364,381,NBA,18119,MEMPHIS GRIZZLIES,NOT APPLICABLE,WESTERN,SOUTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/grizzlies/,SHARES ARENA WITH MEMPHIS TIGERS (NCAA DIV I).,1
292,367,VERIZON CENTER,610 F STREET NW,NOT AVAILABLE,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 628-3200,MULTIUSE,OPEN,20600,DISTRICT OF COLUMBIA,11001,USA,38.898171662999900,-77.021032074999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://verizoncenter.monumentalnetwork.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,MCI CENTER,2006,38.89817166320,-77.02103207530,378,367,NBA,20600,WASHINGTON WIZARDS,NOT APPLICABLE,EASTERN,SOUTHEAST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/wizards/,"SHARES ARENA WITH CAPITALS (NHL), MYSTICS (WNBA) AND GEORGETOWN HOYAS (NCAA DIV I).",2
395,799,AMERICAN AIRLINES ARENA,601 BISCAYNE BOULEVARD,NOT AVAILABLE,MIAMI,FL,33132,NOT AVAILABLE,(786) 777-1000,SINGLE USE,OPEN,19600,DADE,29057,USA,25.781330567000000,-80.187918844999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.americanairlinescenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,25.78133056740,-80.18791884500,361,799,NBA,19600,MIAMI HEAT,NOT APPLICABLE,EASTERN,SOUTHEAST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/heat/,NOT AVAILABLE,3
399,800,GOLDEN 1 CENTER,547 L ST,NOT AVAILABLE,SACRAMENTO,CA,95814,NOT AVAILABLE,(888) 915-4647,SINGLE USE,OPEN,17500,SACRAMENTO,06067,USA,38.649102206000000,-121.518158159000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://golden1center.com/,2016-02-08T00:00:00.000Z,IMAGERY/OTHER,2016-02-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,38.58032999970,-121.49965700000,362,800,NBA,17500,SACRAMENTO KINGS,NOT APPLICABLE,WESTERN,PACIFIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/kings/,MOVED FROM SLEEP TRAIN ARENA IN 2016,4
405,801,VIVINT SMART HOME ARENA,301 WEST SOUTH TEMPLE,NOT AVAILABLE,SALT LAKE CITY,UT,84101,NOT AVAILABLE,(916) 928-6900,SINGLE USE,OPEN,19911,SALT LAKE,49035,USA,40.768205528999900,-111.901025101000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.energysolutionsarena.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2016-02-05T00:00:00.000Z,DELTA CENTER,NOT AVAILABLE,ENERGYSOLUTIONS ARENA,2015,40.76820552880,-111.90102510100,363,801,NBA,19911,UTAH JAZZ,NOT APPLICABLE,WESTERN,NORTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/jazz/,NOT AVAILABLE,5
411,375,BMO HARRIS BRADLEY CENTER,1001 NORTH 4TH STREET,NOT AVAILABLE,MILWAUKEE,WI,53233,NOT AVAILABLE,(414) 227-0400,MULTIUSE,OPEN,18850,MILWAUKEE,55079,USA,43.043709999999900,-87.917164928999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.bmoharrisbradleycenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,BRADLEY CENTER,2012,43.04370999980,-87.91716492910,369,375,NBA,18717,MILWAUKEE BUCKS,NOT APPLICABLE,EASTERN,CENTRAL,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/bucks/,SHARES ARENA WITH MARQUETTE GOLDEN EAGLES (NCAA DIV I).,6
412,803,QUICKEN LOANS ARENA,1 CENTER COURT,NOT AVAILABLE,CLEVELAND,OH,44115,NOT AVAILABLE,(216) 420-2000,SINGLE USE,OPEN,20562,CUYAHOGA,39035,USA,41.496534001000000,-81.688180020000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.theqarena.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,GUND ARENA,2005,41.49653400130,-81.68818002040,365,803,NBA,20562,CLEVELAND CAVALIERS,NOT APPLICABLE,EASTERN,CENTRAL,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/cavaliers/,NOT AVAILABLE,7
413,804,ORACLE ARENA,7000 COLISEUM WAY,NOT AVAILABLE,OAKLAND,CA,94621,NOT AVAILABLE,(510) 569-2121,SINGLE USE,OPEN,19596,ALAMEDA,06001,USA,37.750292705000000,-122.202901692000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.coliseum.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,37.75029270470,-122.20290169200,366,804,NBA,19596,GOLDEN STATE WARRIORS,NOT APPLICABLE,WESTERN,PACIFIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/warriors/,NOT AVAILABLE,8
419,805,SMOOTHIE KING CENTER,1601 GIROD STREET,NOT AVAILABLE,NEW ORLEANS,LA,70113,NOT AVAILABLE,(504) 587-3663,SINGLE USE,OPEN,17003,ORLEANS,22071,USA,29.949036337999900,-90.082109716000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.neworleansarena.com/site.php,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NEW ORLEANS ARENA,2014,29.94903633810,-90.08210971630,367,805,NBA,17003,NEW ORLEANS PELICANS,NOT APPLICABLE,WESTERN,SOUTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/pelicans/,NAME CHANGED FROM HORNETS TO PELICANS IN 2014,9
425,806,MODA CENTER,1 CENTER COURT,NOT AVAILABLE,PORTLAND,OR,97227,NOT AVAILABLE,(503) 797-9619,SINGLE USE,OPEN,19441,MULTNOMAH,41051,USA,45.531650067999900,-122.666920079000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.rosequarter.com/seating-charts/moda-center,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,ROSE GARDEN ARENA,2013,45.53165006770,-122.66692007900,368,806,NBA,19441,PORTLAND TRAILBLAZERS,NOT APPLICABLE,WESTERN,NORTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/blazers/,NOT AVAILABLE,10
429,363,AMERICAN AIRLINES CENTER,2500 VICTORY AVENUE,NOT AVAILABLE,DALLAS,TX,75219,NOT AVAILABLE,(214) 222-3687,MULTIUSE,OPEN,19200,DALLAS,19049,USA,32.790620046000000,-96.810430005000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.americanairlinescenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,AAC,NOT AVAILABLE,NOT AVAILABLE,-999,32.79062004610,-96.81043000470,370,363,NBA,19200,DALLAS MAVERICKS,NOT APPLICABLE,WESTERN,SOUTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.mavs.com/,SHARES ARENA WITH STARS (NHL).,11
447,405,TD GARDEN,100 LEGENDS WAY,NOT AVAILABLE,BOSTON,MA,02114,NOT AVAILABLE,(617) 624-1050,MULTIUSE,OPEN,18624,SUFFOLK,25025,USA,42.366319335999900,-71.062227702000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.tdgarden.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,THE GARDEN,FLEET CENTER,NOT AVAILABLE,-999,42.36631933570,-71.06222770180,371,405,NBA,18624,BOSTON CELTICS,NOT APPLICABLE,EASTERN,ATLANTIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/celtics/,FORMERLY TB BANKNORTH GARDEN UNTIL JULY 2009. SHARES ARENA WITH BRUINS (NHL).,12
450,396,PEPSI CENTER,1000 CHOPPER CIRCLE,NOT AVAILABLE,DENVER,CO,80204,NOT AVAILABLE,(303) 405-1100,MULTIUSE,OPEN,19155,DENVER,08031,USA,39.748683806999900,-105.007688173000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.pepsicenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,THE CAN,NOT AVAILABLE,NOT AVAILABLE,-999,39.74868380680,-105.00768817300,372,396,NBA,19155,DENVER NUGGETS,NOT APPLICABLE,WESTERN,NORTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/nuggets/,SHARES ARENA WITH AVALANCHE (NHL).,13
465,397,PHILIPS ARENA,1 PHILIPS DRIVE NW,NOT AVAILABLE,ATLANTA,GA,30303,NOT AVAILABLE,(404) 878-3000,MULTIUSE,OPEN,18118,FULTON,17057,USA,33.757299967000000,-84.396309983999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.philipsarena.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,33.75729996660,-84.39630998440,373,397,NBA,18118,ATLANTA HAWKS,NOT APPLICABLE,EASTERN,SOUTHEAST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/hawks/,SHARES ARENA WITH DREAM (WNBA).,14
469,374,UNITED CENTER,1902 WEST MADISON STREET,NOT AVAILABLE,CHICAGO,IL,60612,NOT AVAILABLE,(312) 455-4500,MULTIUSE,OPEN,20917,COOK,27031,USA,41.880717472000000,-87.674294067000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.unitedcenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,THE UC,NOT AVAILABLE,NOT AVAILABLE,-999,41.88071747170,-87.67429406700,374,374,NBA,20917,CHICAGO BULLS,NOT APPLICABLE,EASTERN,CENTRAL,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/bulls/,SHARES ARENA WITH BLACKHAWKS (NHL).,15
475,391,MADISON SQUARE GARDEN,4 PENNSYLVANIA PLAZA,NOT AVAILABLE,NEW YORK,NY,10001,NOT AVAILABLE,(212) 465-6741,MULTIUSE,OPEN,19763,NEW YORK,36061,USA,40.750518100999900,-73.993468403999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.thegarden.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,THE GARDEN,MSG,NOT AVAILABLE,-999,40.75051810100,-73.99346840430,377,391,NBA,19812,NEW YORK KNICKS,NOT APPLICABLE,EASTERN,ATLANTIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/knicks/,SHARES ARENA WITH RANGERS (NHL) AND SAINT JOHN'S RED STORM (NCAA DIV I).,16
476,366,STAPLES CENTER,1111 SOUTH FIGUEROA STREET,NOT AVAILABLE,LOS ANGELES,CA,90015,NOT AVAILABLE,(213) 742-7100,MULTIUSE,OPEN,19060,LOS ANGELES,06037,USA,34.043052498000000,-118.267216979000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.staplescenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,34.04305249830,-118.26721697900,379,366,NBA,19079,LOS ANGELES CLIPPERS,NOT APPLICABLE,WESTERN,PACIFIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/clippers/,SHARES ARENA WITH KINGS (NHL) AND SPARKS (WNBA).,17
479,376,TARGET CENTER,600 FIRST AVENUE NORTH,NOT AVAILABLE,MINNEAPOLIS,MN,55403,NOT AVAILABLE,(612) 673-1600,MULTIUSE,OPEN,19356,HENNEPIN,27053,USA,44.979561079000000,-93.276128044999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.targetcenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,44.97956107900,-93.27612804470,380,376,NBA,19356,MINNESOTA TIMBERWOLVES,NOT APPLICABLE,WESTERN,NORTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/timberwolves/,SHARES ARENA WITH LYNX (WNBA).,18
481,407,TALKING STICK RESORT ARENA,201 EAST JEFFERSON,NOT AVAILABLE,PHOENIX,AZ,85004,NOT AVAILABLE,(602) 379-2000,MULTIUSE,OPEN,18422,MARICOPA,04013,USA,33.445830579000000,-112.071286769000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.usairwayscenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,US AIRWAYS CENTER,2015,33.44583057860,-112.07128676900,381,407,NBA,18422,PHOENIX SUNS,NOT APPLICABLE,WESTERN,PACIFIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/suns/,SHARES ARENA WITH MERCURY (WNBA).,19
485,820,TIME WARNER CABLE ARENA,333 EAST TRADE STREET,NOT AVAILABLE,CHARLOTTE,NC,28202,NOT AVAILABLE,(704) 688-9000,SINGLE USE,OPEN,19077,MECKLENBURG,37119,USA,35.225172092000000,-80.839427134999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.timewarnercablearena.com/timewarner/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,CHARLOTTE BOBCATS ARENA,2008,35.22517209210,-80.83942713510,382,820,NBA,19077,CHARLOTTE HORNETS,NOT APPLICABLE,EASTERN,SOUTHEAST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/hornets/,FORMERLY CHARLOTTE BOBCATS ARENA UNTIL 2008.  NAME CHANGED FROM BOBCATS TO HORNETS IN 2014,20
492,371,BANKERS LIFE FIELDHOUSE,125 SOUTH PENNSYLVANIA STREET,NOT AVAILABLE,INDIANAPOLIS,IN,46204,NOT AVAILABLE,(317) 917-2500,MULTIUSE,OPEN,18165,MARION,41047,USA,39.764010016999900,-86.155569975999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.bankerslifefieldhouse.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,CONSECO FIELDHOUSE,2011,39.76401001720,-86.15556997570,383,371,NBA,18165,INDIANA PACERS,NOT APPLICABLE,EASTERN,CENTRAL,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/pacers/,SHARES ARENA WITH FEVER (WNBA).,21
494,822,TOYOTA CENTER,1510 POLK STREET,NOT AVAILABLE,HOUSTON,TX,77002,NOT AVAILABLE,(713) 627-3865,SINGLE USE,OPEN,18023,HARRIS,48201,USA,29.750780020000000,-95.362180046000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.houstontoyotacenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,29.75078001990,-95.36218004640,384,822,NBA,18023,HOUSTON ROCKETS,NOT APPLICABLE,WESTERN,SOUTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/rockets/,NOT AVAILABLE,22
495,823,PALACE OF AUBURN HILLS,2 CHAMPIONSHIP DRIVE,NOT AVAILABLE,AUBURN HILLS,MI,48326,NOT AVAILABLE,(248) 377-0100,SINGLE USE,OPEN,22076,OAKLAND,26125,USA,42.697109886000000,-83.245659696999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.palacenet.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,42.69710988580,-83.24565969680,385,823,NBA,22076,DETROIT PISTONS,NOT APPLICABLE,EASTERN,CENTRAL,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/pistons/,NOT AVAILABLE,23
499,364,AT&T CENTER,1 AT&T CENTER PARKWAY,NOT AVAILABLE,SAN ANTONIO,TX,78219,NOT AVAILABLE,(210) 444-5000,MULTIUSE,OPEN,18581,BEXAR,48029,USA,29.426930629000000,-98.437488798000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.attcenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,SBC CENTER,2005,29.42693062910,-98.43748879830,386,364,NBA,18581,SAN ANTONIO SPURS,NOT APPLICABLE,WESTERN,SOUTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/spurs/,SHARES ARENA WITH SILVER STARS (WNBA).,24
501,825,CHESAPEAKE ENERGY ARENA,100 WEST RENO AVENUE,NOT AVAILABLE,OKLAHOMA CITY,OK,73102,NOT AVAILABLE,(405) 602-8700,SINGLE USE,OPEN,18203,OKLAHOMA,40109,USA,35.463485474000000,-97.515020078000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.chesapeakearena.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,35.46348547400,-97.51502007820,387,825,NBA,18203,OKLAHOMA CITY THUNDER,NOT APPLICABLE,WESTERN,NORTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/thunder/,FORMERLY FORD CENTER UNTIL 2010.,25
505,361,AIR CANADA CENTRE,40 BAY STREET,NOT AVAILABLE,TORONTO,ON,M5J 2X2,NOT AVAILABLE,(416) 815-5500,MULTIUSE,OPEN,19800,TORONTO,3520005,CAN,43.643415474000000,-79.379023537999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.theaircanadacentre.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,ACC,THE HANGAR,NOT AVAILABLE,-999,43.64341547390,-79.37902353780,388,361,NBA,19800,TORONTO RAPTORS,NOT APPLICABLE,EASTERN,ATLANTIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/raptors/,SHARES ARENA WITH MAPLE LEAFS (NHL).,26
507,827,AMWAY CENTER,CHURCH ST AND DIVISION AVE,NOT AVAILABLE,ORLANDO,FL,32801,NOT AVAILABLE,(407) 440-7000,SINGLE USE,OPEN,18846,ORANGE,48361,USA,28.539220000000000,-81.383889999999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.amwaycenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,28.53922000030,-81.38389000020,389,827,NBA,18846,ORLANDO MAGIC,NOT APPLICABLE,EASTERN,SOUTHEAST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/magic/,FORMERLY PLAYED IN AMWAY ARENA UNTIL 2010. NEW ARENA OPENED 2010.,27
727,372,WELLS FARGO CENTER,3601 SOUTH BROAD STREET,NOT AVAILABLE,PHILADELPHIA,PA,19148,NOT AVAILABLE,(215) 336-3600,MULTIUSE,OPEN,20456,PHILADELPHIA,42101,USA,39.901160357000000,-75.171858772999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.wellsfargocenterphilly.com/index.aspx,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,SPECTRUM II,NOT AVAILABLE,WACHOVIA CENTER,2010,39.90116035700,-75.17185877310,375,372,NBA,20328,PHILADELPHIA 76ERS,NOT APPLICABLE,EASTERN,ATLANTIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/sixers/,FORMERLY WACHOVIA CENTER. SHARES ARENA WITH FLYERS (NHL) AND VILLANOVA WILDCATS (NCAA DIV I).,28
